"titulo","sueldo","ciudadModalidad","horario","idioma","requisitos"
"Desarrollador ServiceNow Senior - Híbrido en Capital Empresarial Horizonte","$ 80,000 a 90,000 MXN (Bruto)","Jalisco - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Desarrollador Service Now Para laborar en Guadalajara Esquema Híbrido: 3 días en casa, 2 presenciales INGLES CONVERSACIONAL INDISPENSABLE Habilidades Técnicas/Funcionales: Título universitario en Ciencias de la Computación o equivalente, con un mínimo de 4 años de experiencia en puetso similar. Amplia experiencia práctica en el diseño, desarrollo y gestión de flujos de trabajo en ServiceNow. Conocimientos sólidos de JavaScript, especialmente aplicados al ecosistema de ServiceNow. Conocimiento y experiencia en instalación y solución de problemas con servidores MID, así como en integraciones con servicios en la nube. Dominio de módulos clave de ServiceNow: actualizaciones de plataforma, instalación y configuración de MID Server, integraciones (REST/SOAP/servicios web scriptados), scripting en PowerShell, CMDB/Discovery y Service Portal. Certificación como ServiceNow Certified Implementation Specialist (requerida). Certificación ITIL Foundation (deseable). Responsabilidades: Diseñar, desarrollar y mantener aplicaciones, módulos y flujos de trabajo en ServiceNow de acuerdo con los requerimientos del negocio. Participar en actividades de actualización de la plataforma y asegurar una transición fluida del sistema. Instalar, configurar y solucionar problemas relacionados con servidores MID para integraciones del sistema. Desarrollar y mantener integraciones web usando servicios REST/SOAP y scripts personalizados. Automatizar tareas utilizando scripts en PowerShell cuando sea necesario. Administrar la CMDB de ServiceNow y dar soporte a los procesos de descubrimiento (Discovery). Personalizar y mejorar el Service Portal para optimizar la experiencia del usuario final. Colaborar con equipos multifuncionales para comprender los requerimientos y entregar soluciones de calidad en ServiceNow. Asegurar el cumplimiento de estándares de codificación, buenas prácticas y documentación técnica. Ofrecemos Sueldo de acuerdo a experiencia (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 12 días de vacaciones + 2 por año, PTU) Interesados enviar CV al correo de reclutamiento(arroba)horizonteempresarial.com.mx "
"Desarrollador de WordPress Backend","Sueldo oculto","Puebla - Híbrido","Empleado de tiempo completo","Inglés : Nivel Intermedio","Descripción del puesto Un desarrollador backend de WordPress, está encargado de trabajar en la parte técnica y las funcionalidades fundamentales del sitio web de WordPress. Esto implicará desarrollar y personalizar temas, integrar funcionalidades mediante plugins de terceros y APIs externas, así como optimizar el rendimiento del sitio. Además, implementará medidas de seguridad, mantendrá el sitio actualizado y realizará copias de seguridad periódicas. También desarrollará funcionalidades personalizadas según las especificaciones del cliente, utilizando lenguajes como PHP, JavaScript y SQL. Colaborará estrechamente con otros miembros del equipo para comprender las necesidades del proyecto y proporcionar actualizaciones sobre el progreso del desarrollo. HABILIDADES Y CUALIDADES PERSONALES Licenciatura en Informática, Ingeniería de Software o campo relacionado. Experiencia previa trabajando como Desarrollador de WordPress Backend. Conocimientos profundos de PHP y experiencia en el desarrollo de temas y plugins para WordPress. Experiencia en la integración de APIs RESTful y consumo de servicios web. Conocimientos sólidos de MySQL y optimización de bases de datos. Capacidad para trabajar de forma autónoma y en equipo, comunicación efectiva y habilidades de resolución de problemas. Inglés hablado y escrito, preferiblemente con capacidad para leer y comprender documentación técnica. DESCRIPCIÓN DEL TRABAJO Desarrollo y mantenimiento de plugins y temas personalizados para WordPress, asegurando la escalabilidad, rendimiento y seguridad del código. Integración de APIs de terceros y desarrollo de funcionalidades personalizadas según los requisitos del proyecto. Optimización de bases de datos y consultas para mejorar el rendimiento del sitio web. Implementación de soluciones técnicas para resolver problemas y mejorar la eficiencia del desarrollo. Colaboración estrecha con el equipo de frontend y diseñadores para asegurar la correcta implementación de la interfaz de usuario y la experiencia del usuario. Mantenimiento y actualización continua de sitios web existentes basados en WordPress, incluyendo la resolución de problemas y la aplicación de parches de seguridad. Investigación y evaluación de nuevas tecnologías y herramientas relacionadas con WordPress para mejorar los procesos de desarrollo. Prestaciones Prestaciones de Ley Prestaciones superiores a partir de los 3 meses Vales de despensa Seguro de gastos médicos mayores Treats Excelente ambiente laboral Esquema Híbrido "
"GRC Archer - Híbrido en Capital Empresarial Horizonte","$ 80,000 a 90,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: GRC Archer Para laborar en CDMX (Hibrido) Esquema Híbrido: 3 días en casa, 2 presenciales INGLES CONVERSACIONAL INDISPENSABLE Responsabilidades principales: Configurar, desarrollar y mantener soluciones dentro de la plataforma RSA Archer GRC . Personalizar aplicaciones y flujos de trabajo según requerimientos del negocio. Desarrollar integraciones utilizando tecnologías como .NET , SQL , HTML y JavaScript . Crear dashboards, reportes y formularios interactivos dentro de Archer. Colaborar con equipos de riesgo, cumplimiento, auditoría y TI para entender necesidades y traducirlas en soluciones funcionales. Requisitos técnicos: Experiencia trabajando con RSA Archer GRC Platform (configuración, desarrollo y soporte). Conocimientos sólidos en: .NET (C# o VB.NET) SQL Server (consultas, procedimientos almacenados) HTML y JavaScript (para personalización de interfaces) Experiencia en diseño y desarrollo de integraciones y automatización de procesos. Comprensión general de conceptos de Gobernanza, Riesgo y Cumplimiento (GRC) . Ofrecemos Sueldo de acuerdo a experiencia (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 12 días de vacaciones + 2 por año, PTU) Interesados enviar CV al correo de empleo(arroba)horizonteempresarial.com.mx "
"Desarrollador ServiceNow - Híbrido en Capital Empresarial Horizonte","$ 80,000 a 90,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Desarrollador ServiceNow Para laborar en CDMX o Guadalajara o QRO o MTY Esquema Híbrido: 3 días en casa, 2 presenciales INGLES CONVERSACIONAL INDISPENSABLE Habilidades Técnicas/Funcionales: Título universitario en Ciencias de la Computación o equivalente, con un mínimo de 4 años de experiencia en puetso similar. Amplia experiencia práctica en el diseño, desarrollo y gestión de flujos de trabajo en ServiceNow. Conocimientos sólidos de JavaScript, especialmente aplicados al ecosistema de ServiceNow. Conocimiento y experiencia en instalación y solución de problemas con servidores MID, así como en integraciones con servicios en la nube. Dominio de módulos clave de ServiceNow: actualizaciones de plataforma, instalación y configuración de MID Server, integraciones (REST/SOAP/servicios web scriptados), scripting en PowerShell, CMDB/Discovery y Service Portal. Certificación como ServiceNow Certified Implementation Specialist (requerida). Certificación ITIL Foundation (deseable). Responsabilidades: Diseñar, desarrollar y mantener aplicaciones, módulos y flujos de trabajo en ServiceNow de acuerdo con los requerimientos del negocio. Participar en actividades de actualización de la plataforma y asegurar una transición fluida del sistema. Instalar, configurar y solucionar problemas relacionados con servidores MID para integraciones del sistema. Desarrollar y mantener integraciones web usando servicios REST/SOAP y scripts personalizados. Automatizar tareas utilizando scripts en PowerShell cuando sea necesario. Administrar la CMDB de ServiceNow y dar soporte a los procesos de descubrimiento (Discovery). Personalizar y mejorar el Service Portal para optimizar la experiencia del usuario final. Colaborar con equipos multifuncionales para comprender los requerimientos y entregar soluciones de calidad en ServiceNow. Asegurar el cumplimiento de estándares de codificación, buenas prácticas y documentación técnica. Ofrecemos"
"ServiceNow Developer - Híbrido en Capital Empresarial Horizonte","$ 80,000 a 90,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: ServiceNow Developer Para laborar en CDMX o Guadalajara o QRO o MTY Esquema Híbrido: 3 días en casa, 2 presenciales INGLES CONVERSACIONAL INDISPENSABLE Habilidades Técnicas/Funcionales: Título universitario en Ciencias de la Computación o equivalente, con un mínimo de 4 años de experiencia en puetso similar. Amplia experiencia práctica en el diseño, desarrollo y gestión de flujos de trabajo en ServiceNow. Conocimientos sólidos de JavaScript, especialmente aplicados al ecosistema de ServiceNow. Conocimiento y experiencia en instalación y solución de problemas con servidores MID, así como en integraciones con servicios en la nube. Dominio de módulos clave de ServiceNow: actualizaciones de plataforma, instalación y configuración de MID Server, integraciones (REST/SOAP/servicios web scriptados), scripting en PowerShell, CMDB/Discovery y Service Portal. Certificación como ServiceNow Certified Implementation Specialist (requerida). Certificación ITIL Foundation (deseable). Responsabilidades: Diseñar, desarrollar y mantener aplicaciones, módulos y flujos de trabajo en ServiceNow de acuerdo con los requerimientos del negocio. Participar en actividades de actualización de la plataforma y asegurar una transición fluida del sistema. Instalar, configurar y solucionar problemas relacionados con servidores MID para integraciones del sistema. Desarrollar y mantener integraciones web usando servicios REST/SOAP y scripts personalizados. Automatizar tareas utilizando scripts en PowerShell cuando sea necesario. Administrar la CMDB de ServiceNow y dar soporte a los procesos de descubrimiento (Discovery). Personalizar y mejorar el Service Portal para optimizar la experiencia del usuario final. Colaborar con equipos multifuncionales para comprender los requerimientos y entregar soluciones de calidad en ServiceNow. Asegurar el cumplimiento de estándares de codificación, buenas prácticas y documentación técnica. Ofrecemos"
"API/EDI Developer Senior (Bilingual) - Remoto en SPS","Sueldo oculto","Remoto: LATAM","Empleado de tiempo completo","Inglés : Nivel Avanzado","We are looking for an API & EDI Developer to join our consulting team and contribute to building and maintaining modern, scalable integrations for supply chain and e-commerce operations. The role focuses on API and EDI development for high-volume order processing systems, working with a distributed team in a fast-paced environment. Location:  For this job opportunity, it's necessary to be located in CDMX or relocate to this city. Technical Requirements Strong experience in designing and building RESTful APIs Proficiency with JavaScript or Python for backend development Solid understanding of JSON and XML data structures  Experience with version control systems (e.g., Git) Knowledge of cloud-based integration workflows and tools  Familiarity with asynchronous message processing and queues N ice to Have (Not Mandatory) Previous experience with EDI formats (e.g., X12, EDIFACT) Experience working in supply chain, logistics, or e-commerce platforms Familiarity with ERP or OMS systems Hands-on experience with integration tools like Celigo, Boomi, MuleSoft, or similar Exposure to GraphQL Comfort working in a fully remote, agile development environment Responsibilities Build and maintain scalable APIs for order, inventory, and fulfillment workflows. Implement and support EDI integrations with trading partners and 3PLs. Design and deploy data mappings and transformations between systems. Collaborate with internal consultants and client-side teams to analyze technical requirements. Maintain documentation and reusable integration components. Monitor and troubleshoot integration flows in production environments. Participate in standups, sprint planning, and peer code reviews. What We Offer Full payroll scheme with all legal benefits Year-end bonus (Aguinaldo) Vacation days and vacation bonus Profit sharing (PTU) Social Security (IMSS) Parental leave (maternity, paternity, and adoption) Fonacot credit access Major and minor medical insurance Life insurance  Funeral assistance coverage Hybrid work model (on-site only when strictly necessary) Reduced work hours/days initiative Continuous training and upskilling opportunities Access to a certification program in high-demand IT technologies (Oracle, AWS, Google, MuleSoft, DataDog, and others).  Infonavit “Empresa 10 Plus” certified employer If you're interested, please apply and make sure your resume is up to date."
"Desarrollador Full Stack - Java & Angular en HIRELINE","Sueldo oculto","Ciudad de México","Empleado de tiempo completo","Inglés : Nivel Intermedio","Requisitos ● Ingeniería Sistemas - Sistemas Computacionales - Ingeniería Comunicaciones o afín (Titulado) ● Conocimientos en Sistemas informáticos: arquitectura de software, protocolos de comunicación, sistemas operativos, base de datos, redes ● Fases del ciclo de vida del desarrollo de software: análisis, diseño, desarrollo y pruebas ● Conocimientos generales: Definición de arquitecturas de referencia ● 3 años de experiencia en procesos: Sistemas operativos, lenguajes de programación y herramientas para el desarrollo de software requeridos para la especialidad del puesto: Java, Eclipse, Maven, Gradle, Hibernate,Spring, Spring Boot, Postman, Google Cloud Platform, WebSpere, Oracle Cloud, JavaScript, Visual Studio, Angular, Node.js ● Deseable Squirrel, Python ● Manejo de base de datos de la especialidad del puesto: DB2, Oracle, SQL Server, MySQL, CloudSQL, PL-SQL, Spanner, BigQuery ● Definición y ejecución de pruebas de artefactos de software: unitarias, de seguridad, de calidad de código, de integración ● Construcción de soluciones de TI utilizando las tecnologías de la especialidad del puesto ● Participación en proyectos de desarrollo de software Funciones ● Participar en el análisis de los requerimientos de TI de complejidad media-alta que se le  asignen y definir la arquitectura de solución correspondiente ● Coordinar las actividades de construcción, y ejecutar en tiempo y forma las que le  corresponden, para que la fase de construcción se concluya en la fecha planeada y con la  calidad esperada ● Garantizar la corrección de todos los defectos que sean reportados durante las pruebas  ejecutadas por Aseguramiento de la Calidad ● Asegurar que los ambientes de desarrollo estén preparados para la construcción de las  soluciones que atenderán los requerimientos de TI de complejidad media-alta que se le  asignen ● Gestionar la instalación de la solución en producción, solucionar los incidentes que se  presenten durante el período de garantía y asegurar la generación y resguardo de la  documentación de la fase de construcción para la liberación y cierre de los requerimientos  de TI de complejidad media-alta en los que participa ● Ejecutar pruebas unitarias para asegurar que los componentes de software desarrollados  atiendan los requisitos incluidos en el alcance de los requerimientos de TI de complejidad  media-alta que le son asignados y cumplan con los lineamientos técnicos que les aplican Beneficios adicionales ● Prestaciones de ley y superiores ● vales de despensa ● fondo de ahorro ● caja de ahorro ● 45 días de aguinaldo ● 20 días de vacaciones cumpliendo un año ● Prima Vacacional ● Bono de beneficios ● Bono por permanencia ● servicio de comedor ● Servicio de Transporte ● Club deportivo ......................................."
"Desarrollador Fullstack Java Senior en HIRELINE","$ 15,000 a 20,000 MXN (Bruto)","Querétaro","Empleado de tiempo completo","Inglés : Nivel Intermedio","Advanced English • Software Engineer responsible for designing, developing, implementing and testing new services/applications using Java in an Agile/TDD environment Must have experience or knowledge in Quarkus • Java 8/11+ and experience with the new features available in Java 8 and above like lambdas, streams, etc • Experience with developing multithreaded applications • Spring, Spring Boot, Spring Data, JPA • REST, Microservices • Experience deploying to the cloud – ideally GCP (Google Cloud Platform). Also open to people who have experience with other cloud technologies like PCF, Azure, AWS, etc. Container based deployments, Kubernetes, etc • Front end experience with JavaScript and frameworks like React, Angular (one of the newer versions), etc • Experience in a CI/CD environment with Jenkins, Concourse or similar tool • Unit testing experience with Junit. Integration, performance, end to end testing is nice to have. • Experience with source control repositories like GitHub and build tools like Gradle • Database programming experience (Relational and NoSQL) • Messaging experience with PubSub, Kafka • Write code that meets standards and delivers desired functionality using the technology selected for the project • Work on core data structures and algorithms and implement them using technology chosen • Understand performance parameters, monitoring and assess application performance"
"Tech Lead - Híbrido en Super Kiosko","Sueldo oculto","Jalisco - Híbrido","Empleado de tiempo completo","Inglés : Nivel Básico","En Kiosko, estamos en búsqueda de un Tech Lead apasionado por la innovación y la tecnología. Únete a nuestro equipo y transforma la industria del retail con nosotros.   Nuestra Transformación Digital Estamos inmersos en una transformación digital única, desarrollando proyectos innovadores como Wallet y Loyalty, e incorporando tecnologías emergentes como inteligencia artificial, automatización y ciberseguridad en nuestras operaciones.   Sobre el Rol El candidato ideal debe tener una sólida comprensión de infraestructuras on-premises y en la nube (Azure), así como experiencia en el desarrollo de APIs y microservicios. Además, se requiere dominio en lenguajes de programación como JavaScript y C#. Este rol es clave para liderar nuestro equipo de desarrollo, aplicar metodologías ágiles y asegurar prácticas robustas de DevSecOps y CI/CD. Responsabilidades Principales: Proveer liderazgo técnico en proyectos de desarrollo de software, asegurando la calidad del código y el cumplimiento de buenas prácticas. Diseñar soluciones escalables utilizando infraestructuras on-premises y Azure, implementando API’s, microservicios y principios de DevSecOps. Coordinar el equipo de desarrollo, garantizando entregas puntuales y de alta calidad, y promoviendo metodologías ágiles como Scrum y Kanban. Desarrollar y mantener aplicaciones con JavaScript y C#, y gestionar pipelines de CI/CD para asegurar una integración continua y segura. Fomentar un ambiente colaborativo y de mejora continua, trabajando en conjunto con equipos de seguridad y operaciones. Utilizar herramientas de calidad de código y de seguridad como Sonar y Snyk.   Requisitos: Conocimientos sólidos en infraestructuras on-premises y servicios en la nube de Azure. Mínimo 2 años de experiencia en puestos de líder técnico y 3 años de experiencia como desarrollador Experiencia en desarrollo con JavaScript y C#. Experiencia en diseño e implementación de APIs y arquitecturas de microservicios. Familiaridad con metodologías ágiles y gestión de proyectos ágiles. Nociones de DevSecOps y prácticas de seguridad en el desarrollo de software. Experiencia en desarrollo y mantenimiento de pipelines de CI/CD. Ofrecemos: Sueldo competitivo Bono por desempeño Prestaciones superiores a las de ley. 26 días de Aguinaldo! Seguro de Gastos Médicos Mayores Caja de ahorro. Seguro de Vida Plan de carrera  Vales de Despensa    ¿Te interesa? Si quieres unirte a un equipo innovador y desarrollar soluciones digitales que harán una diferencia en la industria del retail, ¡aplica ahora!"
"Especialista Desarrollo Jr. (Java, Microservicios, SOA, Nube) en HIRELINE","Sueldo oculto","Ciudad de México","Empleado de tiempo completo","Inglés : Nivel Básico","Requisitos ● Ingeniería Sistemas - Sistemas Computacionales - Ingeniería Comunicaciones o afín (Pasante 100% créditos) ● Conocimientos en Sistemas informáticos: Fases del ciclo de vida del desarrollo de software: análisis, diseño, desarrollo y pruebas ● Conocimientos generales: Definición de arquitecturas de referencia ● 2 años de experiencia en procesos Sistemas operativos, lenguajes de programación y herramientas para el desarrollo de software requeridos para la especialidad del puesto: Java, Eclipse, Maven, Gradle, Hibernate, Eclipse; Firebase, Spring, Postman, Spring Boot, WebSpere, Google Cloud Platform ● Manejo de base de datos de la especialidad del puesto: DB2, Oracle, SQL Server, MySQL, CloudSQL, Firebase, Spanner ● Deseable: JavaScript, Squirrel Funciones ● Ejecutar en tiempo y forma las actividades de construcción que le corresponden y supervisar el cumplimiento de los proveedores involucrados, para que la fase de construcción se concluya en la fecha planeada y con la calidad esperada ● Ejecutar pruebas unitarias para asegurar que los componentes de software desarrollados atiendan los requisitos incluidos en el alcance de los requerimientos de TI de complejidad media-alta que le son asignados y cumplan con los lineamientos técnicos que les aplican ● Participar en el análisis de los requerimientos de TI de complejidad baja-media que se le asignen y definir la arquitectura de solución correspondiente ● Participar en el análisis de los requerimientos de TI de complejidad baja-media que se le asignen y definir la arquitectura de solución correspondiente ● Garantizar la corrección de todos los defectos que sean reportados durante las pruebas ejecutadas por Aseguramiento de la Calidad ● Gestionar la instalación de la solución en producción, solucionar los incidentes que se presenten durante el período de garantía y asegurar la generación y resguardo de la documentación de la fase de construcción para la liberación y cierre de los requerimientos de TI de complejidad baja-media en los que participa ● Asegurar que los ambientes de desarrollo estén preparados para la construcción de las soluciones que atenderán los requerimientos de TI de complejidad baja-media que se le asignen Oferta: ● Sueldo de $26,900 brutos mensuales ● Prestaciones de ley y superiores ● +vales de despensa ● +fondo de ahorro ● +caja de ahorro ● +45 días de aguinaldo ● +20 días de vacaciones cumpliendo un año ● +Prima Vacacional ● +Bono de beneficios ● +Bono por permanencia ● +servicio de comedor ● +Servicio de Transporte ● +Club deportivo ..............................."
"Consultor Power Platform Senior - Híbrido en AsTecI","$ 35,000 a 40,000 MXN (Neto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Asteci consultoría especializada en perfiles de TI busca tu talento como: Consultor Power Platform ·Escolaridad: Lic. Informática, Ing. Sistemas computacionales, administrativas o afines ·Ingles Intermedio/avanzado ·Experiencia en el sector bancario o financiero Conocimientos en: ·Administración de Power Apps, Power Automate, Power Pages y Microsoft Copilot Studio a través de Power Platform. ·Desarrollo de aplicaciones tanto Canvas como Model Driven. ·Crear y mantener Custom Plugins (C#) y módulos de JavaScript que admiten formularios de aplicaciones Canvas. ·Instalación y configuración de puertas de enlace de datos ·Conocimiento de estrategias de seguridad efectivas para incluir roles, seguridad a nivel de campo. Actividades ·Crear entornos y configurar el modelo de seguridad y privilegios mediante grupos de AD ·Gestión del ciclo de vida de las aplicaciones (ALM) / DevOps ·Creación de proyectos / repositorios / canalizaciones de Azure DevOps ·Obtener la aprobación de la administración de versiones de ServiceNow para PROD Code Promotion ·Configuración de Azure Application Insights para la supervisión de aplicaciones ·Solucionar y resolver problemas de Code Promotion ·Supervisar el rendimiento de la puerta de enlace local de Power Platform ·Solucionar y resolver problemas de código de aplicación / solución ·Solucionar y resolver problemas del entorno Solucionar y resolver problemas de la plataforma ·Supervisar y aplicar las políticas de seguridad y las políticas DLP ·Administrar y gestionar Power Platform ·Solución de problemas y resolución de problemas con Azure DevOps Pipelines ·Supervisar el entorno predeterminado para detectar soluciones no autorizadas ·Capacidad de planeación para On-Premise Data Gateways - infraestructura compartida ·Monitoreo del servicio Power Platform y On-Premise Data Gateways"
"Tech Lead Mobile","Sueldo oculto","Ciudad de México","Empleado de tiempo completo","Inglés : Nivel Avanzado","Tech Lead Mobile Ubicación:  Presencialmente Experiencia:  +10 años en desarrollo de software / +5 años liderando equipos técnicos Idioma:  Inglés Avanzado (oral y escrito) Sobre el rol Estamos en la búsqueda de una persona apasionada por liderar equipos y crear soluciones empresariales web de alta complejidad, con enfoque en  escalabilidad, rendimiento, seguridad y mantenibilidad . Serás el nexo entre la visión estratégica y la ejecución técnica, liderando múltiples equipos en un entorno  ágil, global y multidisciplinario . Liderazgo técnico y humano Estrategia y arquitectura de software Cultura de mejora continua Colaboración transversal Lo que buscamos ️ +10 años de experiencia en desarrollo de software (JavaScript/TypeScript, Node.js, React, etc.) +5 años liderando equipos técnicos y gestionando proyectos complejos Conocimientos sólidos en arquitectura, CI/CD, metodologías ágiles y diseño de sistemas escalables Excelentes habilidades de liderazgo, comunicación y resolución de problemas Inglés avanzado (oral y escrito) Lo que ofrecemos Salario competitivo y prestaciones superiores a la ley Cultura de innovación, respeto y aprendizaje continuo Integración a un equipo global con visión estratégica ¡Si te apasiona la innovación y quieres trabajar en un entorno dinámico, ¡te estamos buscando!"
"DBA - Mongo DB | Mongo Middle en Involve","$ 20,000 a 25,000 MXN (Neto)","Ciudad de México","Empleado de tiempo completo","Inglés : Nivel Intermedio","Descripción del puesto: Empresa confidencial cuenta con una posición como DBA - Mongo DB para diseñar, implementar y optimizar bases de datos NoSQL, garantizando su rendimiento, escalabilidad y seguridad en los entornos de producción.  Funciones: Diseñar y administrar bases de datos MongoDB Optimizar el rendimiento y la escalabilidad de las bases de datos Implementar estrategias de indexación y replicación Configurar y administrar clústeres de MongoDB Realizar respaldos y planes de recuperación ante desastres Garantizar la seguridad de la información almacenada Automatizar tareas de mantenimiento y monitoreo Colaborar con equipos de desarrollo y DevOps para la integración eficiente de la base de datos en las aplicaciones Habilidades:  MongoDB Experiencia en scripting  Python, JavaScript, o Shell Docker, Kubernetes Experiencia en migraciones y actualizaciones Automatización de tareas con scripts y herramientas Experiencia en administración de bases de datos MongoDB Configuración y mantenimiento de réplicas y fragmentación Resolución de problemas Trabajo en equipo Requisitos Nivel de estudios: Licenciatura Estatus académico: Pasante Experiencia en el área: 2 años de experiencia Tecnología de la información Con especialidad en: Bases de datos  Conocimientos en metodologías Ágiles Ofrecemos Sueldo: $22,000.00 MXN a $24,500.00 MXN por: Mes Jornada laboral: Tiempo completo Horario: 9 a 6 Tipo de contrato: Contrato indefinido Modalidad: Presencial Seguro de vida Seguro de gastos médicos mayores "
"SDET Senior - Remoto en Global Delivery Center Capgemini","Sueldo oculto","Remoto: México","Empleado de tiempo completo","Inglés : Nivel Avanzado","SDET (remote in México) About the Role We are looking for an SDET with solid experience in automated testing, test framework development, and validation of APIs and web. This person will be responsible for ensuring software quality through the implementation of efficient automated tests, working closely with development, product, and DevOps teams. Key Responsibilities Design and execute automated tests for web, and API applications. Collaborate with developers, business analysts, and product owners to promote a shift-left testing culture. Participate in code reviews and define acceptance criteria. Contribute to the continuous improvement of quality and automation processes. Monitor and report on quality metrics and test coverage. Technical Requirements Programming Languages:  Java, JavaScript or any other OOP language. Web Automation:  Selenium, Playwright. API Testing:  RESTful APIs, Postman, Newman, SOAP UI. Testing Frameworks:  JUnit, TestNG, NUnit, Robot, Cucumber. DevOps and CI/CD:  Jenkins, Groovy, knowledge of Docker and Kubernetes – nice to have. Version Control:  Git or any other version control. Test Management:  JIRA, Zephyr, Azure DevOps. Databases:  SQL (MySQL, PostgreSQL, Oracle) and/or NoSQL (MongoDB, DynamoDB). What you will love about working with us: At Capgemini Engineering we’re always looking ahead. We reimagine possibilities, and we innovate with technology to bring ideas to life. We encourage flexibility in how, when, and where people get their work done, allowing a better work-life balance, and greater empowerment. They partner with their managers to find an arrangement that works best for their role and their circumstances. We offer game-changing programs to accelerate the growth of our people and the development of their expertise. What you need to know about what we offer: Excellent compensation and benefits Career path, trainings and real growth opportunities Engaging and challenging projects. Excellent work environment and culture. Open and Effective management. Highly professional and collaborative teams. About Capgemini Group Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 300,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. At Capgemini Mexico, we aim to attract the best talent and are committed to creating a diverse and inclusive work environment, so there is no discrimination based on race, sex, sexual orientation, gender identity or expression, or any other characteristic of a person. All applications welcome and will be considered based on merit against the job and/or experience for the position."
"Desarrollador Dynamics 365 - Híbrido en Capital Empresarial Horizonte","$ 50,000 a 60,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Desarrollador Dynamics 365 Para laborar en CDMX o Guadalajara o Querétaro (Hibrido) INGLES CONVERSACIONAL INDISPENSABLE Requisitos: Título en Ingeniería en Sistemas, Tecnologías de la Información o carrera afín. Experiencia en mínima de 7 a 10 años en el desarrollo e implementación de soluciones en Microsoft Dynamics 365, Power Platform y servicios de Azure. Responsabilidades: Liderar el diseño, desarrollo e implementación de soluciones utilizando Power BI, APIs, Microsoft Dataverse y servicios de Azure. Gestionar la integración de sistemas y plataformas para garantizar el flujo fluido de datos y funcionalidad. Aportar conocimientos técnicos en desarrollo con C# y JavaScript para mejorar y mantener aplicaciones empresariales. Colaborar con equipos multidisciplinarios para desplegar soluciones en Power Platform y Dynamics 365. Asegurar la escalabilidad, seguridad y eficiencia de las soluciones mediante el uso de servicios de Azure. Desarrollar y mantener documentación técnica clara y actualizada. Monitorear el rendimiento del sistema y resolver incidencias para asegurar la operación óptima. Realizar revisiones de código y brindar retroalimentación técnica a otros miembros del equipo. Participar activamente en la planificación y ejecución de proyectos tecnológicos. Apoyar en la resolución de desafíos técnicos complejos y fomentar las mejores prácticas. Definir y contribuir al desarrollo de estándares técnicos y políticas internas. Interactuar con stakeholders para comprender requerimientos y entregar soluciones alineadas a sus necesidades. Ofrecemos: • Salario 100% nominal • Seguro de Gastos Médicos Mayores más Póliza de exceso ilimitado.  • Seguro dental y visual.  • Seguro de Vida. • Todas las prestaciones legales desde el primer año. •  Prima vacacional del 50% • Aguinaldo a 24 días.  • Vales de despensa por $3300,53  Interesados enviar CV al correo de empleo(arroba)horizonteempresarial.com.mx"
